departure_time,departure_city,departure_airport,arrival_time,arrival_city,arrival_airport,price
06:00,Poznan,POZ,10:35,Knock,NOC,394
10:50,Poznan,POZ,18:50,Cluj CLJCluj-Napoca,CLJ,385
17:20,Poznan,POZ,22:10,Marseille,MRS,422
10:20,Poznan,POZ,22:20,Valencia,VLC,191
10:20,Poznan,POZ,17:35,Fuertevent,FUE,345
06:10,Poznan,POZ,00:15,Palma Mall,PMI,319
16:35,Poznan,POZ,22:20,Cork,ORK,175
13:50,Poznan,POZ,15:15,Edinburgh,EDI,153
06:10,Poznan,POZ,00:15,Palma Mall,PMI,319
16:35,Poznan,POZ,22:20,Cork,ORK,175
11:30,Poznan,POZ,19:10,Gdansk,GDN,294
05:45,Poznan,POZ,18:20,Helsinki,HEL,320
05:45,Poznan,POZ,16:15,Krakow,KRK,313
09:45,Poznan,POZ,18:30,Catania,CTA,417
06:10,Poznan,POZ,12:35,Lisbon,LIS,433
15:25,Poznan,POZ,20:35,Pisa,PSA,347
06:30,Poznan,POZ,16:40,Venice TSFVenice (Treviso),TSF,479
09:55,Poznan,POZ,11:40,Zadar,ZAD,402
09:20,Poznan,POZ,19:20,Barcelona REUBarcelona (Reus),REU,404
05:45,Poznan,POZ,14:55,Poznan,POZ,269
09:30,Poznan,POZ,12:45,Thessaloni,SKG,429
15:40,Poznan,POZ,23:15,Alghero,AHO,412
05:45,Poznan,POZ,09:05,Bourgas,BOJ,609
13:20,Poznan,POZ,14:40,Bristol,BRS,253
15:05,Poznan,POZ,21:20,Dubrovnik,DBV,444
14:45,Poznan,POZ,00:35,Cologne CGNCologne-Bonn,CGN,284
14:30,Poznan,POZ,16:10,Dublin,DUB,149
10:20,Poznan,POZ,17:35,Ouarzazate,OZZ,226
13:50,Poznan,POZ,22:50,London LGWLondon (Gatwick),LGW,272
08:55,Poznan,POZ,11:50,Malta,MLA,279
15:05,Poznan,POZ,21:20,Dubrovnik,DBV,444
12:25,Poznan,POZ,17:10,Bari,BRI,258
13:40,Poznan,POZ,16:20,Barcelona GROBarcelona (Girona),GRO,454
10:20,Poznan,POZ,18:05,Mogador ESUMogador-Essadouira,ESU,301
07:05,Poznan,POZ,22:05,Liverpool,LPL,436
15:05,Poznan,POZ,21:20,Ibiza,IBZ,443
13:50,Poznan,POZ,21:40,Bristol,BRS,287
15:40,Poznan,POZ,22:35,Corfu,CFU,337
08:05,Poznan,POZ,17:40,Dublin,DUB,350
19:25,Poznan,POZ,20:40,Copenhagen,CPH,78
15:45,Poznan,POZ,23:15,Bratislava,BTS,429
06:10,Poznan,POZ,13:05,Malaga,AGP,408
05:45,Poznan,POZ,10:05,Paphos,PFO,298
13:20,Poznan,POZ,20:25,Alicante,ALC,392
09:45,Poznan,POZ,15:30,Cagliari,CAG,544
10:20,Poznan,POZ,16:05,Biarritz,BIQ,228
15:40,Poznan,POZ,00:40,Malta,MLA,329
05:55,Poznan,POZ,09:20,Corfu,CFU,330
08:55,Poznan,POZ,01:00,Chania,CHQ,609
17:20,Poznan,POZ,19:35,Rome FCORome (Fiumicino),FCO,269
05:45,Poznan,POZ,07:20,Stockholm ARNStockholm (Arlanda),ARN,129
06:00,Poznan,POZ,14:30,Turin,TRN,504
12:25,Poznan,POZ,16:40,Wroclaw,WRO,219
10:20,Poznan,POZ,15:40,Genova,GOA,352
15:40,Poznan,POZ,00:50,Frankfurt HHNFrankfurt (Hahn),HHN,236
15:45,Poznan,POZ,20:25,Palermo,PMO,231
11:05,Poznan,POZ,21:15,Berlin BERBerlin (Brandenburg),BER,492
09:30,Poznan,POZ,12:45,Thessaloni,SKG,429
10:20,Poznan,POZ,01:10,Paphos,PFO,482
05:45,Poznan,POZ,23:59,Rome FCORome (Fiumicino),FCO,299
10:20,Poznan,POZ,01:10,Paphos,PFO,482
10:20,Poznan,POZ,22:45,Edinburgh,EDI,296
05:45,Poznan,POZ,23:05,Vienna,VIE,385
13:20,Poznan,POZ,20:25,Alicante,ALC,392
05:45,Poznan,POZ,22:55,London LTNLondon (Luton),LTN,194
06:00,Poznan,POZ,14:40,Oslo TRFOslo (Torp),TRF,390
16:35,Poznan,POZ,00:45,Athens,ATH,490
06:10,Poznan,POZ,12:45,Zadar,ZAD,488
08:05,Poznan,POZ,18:55,Prague,PRG,420
12:35,Poznan,POZ,15:35,Palma Mall,PMI,480
08:15,Poznan,POZ,13:50,Kutaisi,KUT,519
18:15,Poznan,POZ,22:40,Newcastle,NCL,286
09:45,Poznan,POZ,18:55,Trieste,TRS,262
12:35,Poznan,POZ,15:35,Palma Mall,PMI,480
09:45,Poznan,POZ,14:30,Budapest,BUD,451
14:45,Poznan,POZ,21:35,Paris CDGParis (Charles de Gaulle),CDG,404
06:10,Poznan,POZ,13:05,Malaga,AGP,408
09:55,Poznan,POZ,22:45,East Midla,EMA,477
07:05,Poznan,POZ,11:10,Rome CIARome (Ciampino),CIA,495
10:20,Poznan,POZ,20:40,Stockholm ARNStockholm (Arlanda),ARN,206
05:45,Poznan,POZ,23:59,Sevilla,SVQ,263
18:00,Poznan,POZ,20:40,Barcelona GROBarcelona (Girona),GRO,554
10:50,Poznan,POZ,12:00,Leeds,LBA,187
