departure_time,departure_city,departure_airport,arrival_time,arrival_city,arrival_airport,price
09:15,Rzeszow RZERzeszow-Jasionka,RZE,23:00,Lisbon,LIS,897
09:15,Rzeszow RZERzeszow-Jasionka,RZE,20:05,Prague,PRG,435
10:55,Rzeszow RZERzeszow-Jasionka,RZE,22:20,Rotterdam,RTM,465
09:15,Rzeszow RZERzeszow-Jasionka,RZE,22:00,Berlin BERBerlin (Brandenburg),BER,727
09:30,Rzeszow RZERzeszow-Jasionka,RZE,00:15,Bristol,BRS,871
09:15,Rzeszow RZERzeszow-Jasionka,RZE,17:50,Tenerife S,TFS,559
14:20,Rzeszow RZERzeszow-Jasionka,RZE,19:10,Newquay,NQY,940
14:20,Rzeszow RZERzeszow-Jasionka,RZE,22:35,Vilnius,VNO,782
10:55,Rzeszow RZERzeszow-Jasionka,RZE,20:55,Vigo,VGO,595
09:30,Rzeszow RZERzeszow-Jasionka,RZE,23:55,London LGWLondon (Gatwick),LGW,907
13:25,Rzeszow RZERzeszow-Jasionka,RZE,23:40,Nice,NCE,617
10:55,Rzeszow RZERzeszow-Jasionka,RZE,22:05,Bratislava,BTS,835
13:25,Rzeszow RZERzeszow-Jasionka,RZE,21:40,Bordeaux,BOD,617
13:25,Rzeszow RZERzeszow-Jasionka,RZE,19:30,Milan MXPMilan (Malpensa),MXP,662
13:25,Rzeszow RZERzeszow-Jasionka,RZE,21:10,Enfidha,NBE,795
13:25,Rzeszow RZERzeszow-Jasionka,RZE,21:45,Copenhagen,CPH,901
09:30,Rzeszow RZERzeszow-Jasionka,RZE,17:20,Dusseldorf NRNDusseldorf (Weeze),NRN,987
09:30,Rzeszow RZERzeszow-Jasionka,RZE,19:15,Lodz,LCJ,1009
09:00,Rzeszow RZERzeszow-Jasionka,RZE,15:45,Geneva,GVA,881
10:55,Rzeszow RZERzeszow-Jasionka,RZE,20:40,Kosice,KSC,902
13:25,Rzeszow RZERzeszow-Jasionka,RZE,19:40,Poznan,POZ,1168
09:30,Rzeszow RZERzeszow-Jasionka,RZE,21:25,Bournemout,BOH,1217
09:30,Rzeszow RZERzeszow-Jasionka,RZE,00:50,Lyon,LYS,893
13:25,Rzeszow RZERzeszow-Jasionka,RZE,21:55,Barcelona GROBarcelona (Girona),GRO,1051
14:20,Rzeszow RZERzeszow-Jasionka,RZE,01:05,Kaunas,KUN,1113
